onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.02	1.8	no_response	n/a	0.0	0.737	c	BL
5.82	1.8	no_response	n/a	0.0	0.68	p	BR
7.619	2.0	2-back	1.0	1.0	0.417	n	BL
9.632	2.0	2-back	0.0	1.0	0.433	x	TR
11.644	2.0	2-back	0.0	1.0	0.63	g	TL
13.657	2.0	2-back	1.0	1.0	0.744	p	TR
15.669	2.0	2-back	1.0	0.0	0.361	c	TL
17.682	2.0	2-back	0.0	1.0	0.893	x	BL
19.694	2.0	2-back	1.0	1.0	0.515	l	TL
21.707	2.0	2-back	0.0	1.0	0.333	v	TR
23.72	2.0	2-back	0.0	1.0	0.851	g	TR
25.732	2.0	2-back	0.0	1.0	0.474	t	BR
27.745	2.0	2-back	0.0	1.0	0.718	z	BL
29.757	2.0	2-back	1.0	0.0	0.44	n	BR
31.77	2.0	2-back	0.0	1.0	0.364	f	TL
33.782	2.0	2-back	0.0	1.0	0.473	n	TR
35.795	2.0	2-back	1.0	1.0	0.673	t	TL
37.807	2.0	2-back	0.0	1.0	0.379	v	BL
39.82	2.0	2-back	1.0	0.0	0.547	l	TL
41.833	2.0	2-back	0.0	0.0	0.815	r	TL
43.845	2.0	2-back	0.0	1.0	0.626	s	BR
45.858	2.0	2-back	0.0	1.0	0.65	v	BL
47.87	2.0	2-back	1.0	1.0	0.356	n	BR
49.883	2.0	2-back	0.0	1.0	0.239	p	TL
51.895	2.0	2-back	0.0	1.0	0.514	s	TR
53.908	2.0	2-back	0.0	1.0	0.693	g	BR
55.921	2.0	2-back	0.0	1.0	0.549	p	BL
57.933	2.0	2-back	1.0	1.0	0.643	f	BR
59.946	2.0	2-back	0.0	1.0	0.282	r	TR
61.958	2.0	2-back	0.0	1.0	0.502	s	BL
63.971	2.0	2-back	1.0	1.0	0.39	z	TR
65.983	2.0	2-back	1.0	0.0	0.447	x	BL
67.996	2.0	2-back	0.0	0.0	0.799	c	TL
70.008	2.0	2-back	0.0	1.0	0.218	r	TR
72.021	2.0	2-back	0.0	1.0	0.359	v	BR
74.034	2.0	2-back	0.0	1.0	1.141	l	TL
76.046	2.0	2-back	1.0	1.0	0.632	c	BR
78.059	2.0	2-back	0.0	1.0	0.27	s	TR
80.071	2.0	2-back	1.0	0.0	0.724	t	BR
82.084	2.0	2-back	0.0	0.0	0.426	r	BL
84.096	2.0	2-back	0.0	1.0	0.337	f	TL
86.109	2.0	2-back	1.0	0.0	0.672	z	BL
88.121	2.0	2-back	0.0	1.0	0.441	l	TR
90.134	2.0	2-back	0.0	1.0	0.752	x	TL
92.147	2.0	2-back	1.0	1.0	0.64	f	TR
94.159	2.0	2-back	0.0	1.0	0.595	g	BR
96.172	2.0	2-back	0.0	1.0	0.738	t	BL
98.184	2.0	2-back	1.0	1.0	0.401	z	BR
104.235	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.274	2.0	baseline	1.0	0.0	0.481	redcross.bmp	n/a
108.313	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.353	2.0	baseline	1.0	1.0	0.309	redcross.bmp	n/a
112.392	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.431	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.47	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.51	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.549	2.0	baseline	1.0	1.0	0.345	redcross.bmp	n/a
122.588	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.627	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.666	2.0	baseline	1.0	1.0	0.664	redcross.bmp	n/a
130.705	1.8	no_response	n/a	0.0	0.506	v	TR
132.504	2.0	1-back	0.0	1.0	0.793	p	TL
134.517	2.0	1-back	0.0	1.0	0.449	z	BL
136.529	2.0	1-back	1.0	1.0	0.42	c	BL
138.542	2.0	1-back	0.0	1.0	0.302	t	TR
140.555	2.0	1-back	0.0	1.0	0.529	l	TL
142.567	2.0	1-back	1.0	1.0	0.371	c	TL
144.58	2.0	1-back	0.0	1.0	0.365	v	BL
146.592	2.0	1-back	0.0	1.0	0.33	n	BR
148.605	2.0	1-back	1.0	1.0	0.36	l	BR
150.617	2.0	1-back	0.0	1.0	0.475	v	TL
152.63	2.0	1-back	0.0	1.0	0.48	c	BR
154.643	2.0	1-back	0.0	1.0	0.816	r	TR
156.655	2.0	1-back	1.0	1.0	0.854	t	TR
158.668	2.0	1-back	0.0	1.0	0.483	n	BL
160.68	2.0	1-back	1.0	1.0	0.694	s	BL
162.693	2.0	1-back	0.0	1.0	0.399	v	TR
164.705	2.0	1-back	0.0	1.0	0.824	p	TL
166.718	2.0	1-back	1.0	1.0	0.831	c	TL
168.73	2.0	1-back	0.0	1.0	0.474	g	TR
170.743	2.0	1-back	1.0	1.0	0.536	z	TR
172.756	2.0	1-back	0.0	1.0	0.596	x	BR
174.768	2.0	1-back	0.0	1.0	0.847	g	BL
176.781	2.0	1-back	0.0	1.0	0.808	l	TL
178.793	2.0	1-back	0.0	1.0	0.762	r	BL
180.806	2.0	1-back	1.0	1.0	0.67	x	BL
182.818	2.0	1-back	0.0	1.0	0.44	f	BR
184.831	2.0	1-back	0.0	1.0	0.805	z	TR
186.843	2.0	1-back	1.0	1.0	0.451	r	TR
188.856	2.0	1-back	0.0	1.0	0.424	f	BL
190.869	2.0	1-back	1.0	1.0	0.798	n	BL
192.881	2.0	1-back	0.0	1.0	0.856	x	TR
194.894	2.0	1-back	1.0	1.0	0.798	t	TR
196.906	2.0	1-back	0.0	1.0	0.63	p	BR
198.919	2.0	1-back	1.0	1.0	0.773	x	BR
200.931	2.0	1-back	0.0	1.0	0.74	t	TL
202.944	2.0	1-back	1.0	1.0	0.792	s	TL
204.956	2.0	1-back	0.0	1.0	0.87	f	BL
206.969	2.0	1-back	0.0	0.0	n/a	l	BR
208.982	2.0	1-back	1.0	1.0	0.708	g	BR
210.994	2.0	1-back	0.0	1.0	0.444	n	TL
213.007	2.0	1-back	0.0	1.0	0.678	s	TR
215.019	2.0	1-back	0.0	1.0	0.954	p	BR
217.032	2.0	1-back	0.0	1.0	1.061	r	TL
219.044	2.0	1-back	1.0	1.0	0.424	s	TL
221.057	2.0	1-back	0.0	1.0	0.264	g	BR
223.07	2.0	1-back	1.0	1.0	0.734	z	BR
225.082	2.0	1-back	0.0	1.0	0.628	f	BL
231.133	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
233.172	2.0	baseline	1.0	1.0	0.357	redcross.bmp	n/a
235.211	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
237.251	2.0	baseline	1.0	1.0	0.366	redcross.bmp	n/a
239.29	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
241.329	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
243.368	2.0	baseline	1.0	1.0	0.294	redcross.bmp	n/a
245.407	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
247.447	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
249.486	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
251.525	2.0	baseline	1.0	1.0	0.38	redcross.bmp	n/a
253.564	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
