onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	0.0	0.601	c	TR
5.825	2.0	1-back	0.0	1.0	0.635	g	BL
7.824	2.0	1-back	0.0	1.0	0.595	p	TR
9.823	2.0	1-back	1.0	1.0	0.76	p	BL
11.822	2.0	1-back	0.0	1.0	0.637	t	TL
13.821	2.0	1-back	0.0	1.0	0.664	v	BR
15.82	2.0	1-back	1.0	1.0	0.695	v	TL
17.82	2.0	1-back	0.0	1.0	0.632	s	BL
19.819	2.0	1-back	1.0	1.0	0.548	s	TR
21.818	2.0	1-back	0.0	1.0	0.392	x	BR
23.817	2.0	1-back	0.0	1.0	0.587	n	TL
25.816	2.0	1-back	1.0	1.0	0.681	n	BR
27.815	2.0	1-back	0.0	1.0	0.539	f	TR
29.814	2.0	1-back	1.0	1.0	0.716	f	TL
31.813	2.0	1-back	0.0	1.0	0.414	l	TR
33.812	2.0	1-back	0.0	1.0	0.404	r	BL
35.811	2.0	1-back	0.0	1.0	0.44	z	TR
37.81	2.0	1-back	1.0	1.0	0.554	z	TL
39.809	2.0	1-back	0.0	1.0	0.252	c	TR
41.808	2.0	1-back	1.0	1.0	0.448	c	BL
43.807	2.0	1-back	0.0	1.0	0.205	g	TR
45.807	2.0	1-back	1.0	0.0	0.385	g	BR
47.806	2.0	1-back	0.0	1.0	0.379	x	BL
49.805	2.0	1-back	0.0	1.0	0.501	t	TL
51.804	2.0	1-back	1.0	0.0	0.423	t	BL
53.803	2.0	1-back	0.0	1.0	0.211	r	BR
55.802	2.0	1-back	0.0	1.0	0.474	p	BL
57.801	2.0	1-back	0.0	1.0	0.498	v	TL
59.8	2.0	1-back	0.0	1.0	0.661	s	TR
61.799	2.0	1-back	1.0	1.0	0.587	s	BR
63.798	2.0	1-back	0.0	1.0	0.371	x	BL
65.797	2.0	1-back	1.0	1.0	0.501	x	TL
67.796	2.0	1-back	0.0	1.0	0.409	l	TR
69.795	2.0	1-back	1.0	1.0	0.403	l	BL
71.794	2.0	1-back	0.0	1.0	0.24	n	BR
73.793	2.0	1-back	1.0	1.0	0.585	n	TL
75.792	2.0	1-back	0.0	1.0	0.407	z	BR
77.792	2.0	1-back	1.0	1.0	0.62	z	TL
79.791	2.0	1-back	0.0	1.0	0.551	c	BR
81.79	2.0	1-back	0.0	1.0	0.563	g	BL
83.789	2.0	1-back	0.0	1.0	0.465	p	TL
85.788	2.0	1-back	0.0	1.0	0.462	t	TR
87.787	2.0	1-back	0.0	1.0	0.637	v	BR
89.786	2.0	1-back	0.0	0.0	0.872	f	TL
91.785	2.0	1-back	1.0	0.0	0.191	f	TR
93.784	2.0	1-back	0.0	0.0	n/a	l	BR
95.783	2.0	1-back	0.0	1.0	0.4	r	BL
97.782	2.0	1-back	1.0	0.0	0.534	r	BR
103.829	2.0	baseline	1.0	0.0	n/a	redcross.bmp	n/a
105.878	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
107.927	2.0	baseline	1.0	1.0	0.289	redcross.bmp	n/a
109.976	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.025	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.074	2.0	baseline	1.0	1.0	0.257	redcross.bmp	n/a
116.123	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.172	2.0	baseline	1.0	1.0	0.296	redcross.bmp	n/a
