onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	0.0	0.955	p	TR
5.826	2.0	1-back	0.0	1.0	0.824	f	BL
7.826	2.0	1-back	1.0	0.0	0.653	n	BL
9.826	2.0	1-back	0.0	1.0	0.576	x	TR
11.826	2.0	1-back	0.0	1.0	0.575	c	TL
13.826	2.0	1-back	1.0	0.0	0.515	p	TL
15.826	2.0	1-back	0.0	1.0	0.438	n	BL
17.826	2.0	1-back	0.0	1.0	0.606	c	TR
19.826	2.0	1-back	1.0	1.0	0.538	g	TR
21.826	2.0	1-back	0.0	1.0	0.546	n	TL
23.826	2.0	1-back	0.0	1.0	0.436	s	BR
25.826	2.0	1-back	0.0	1.0	0.538	x	BL
27.826	2.0	1-back	0.0	1.0	0.41	t	TL
29.826	2.0	1-back	1.0	1.0	0.537	g	TL
31.826	2.0	1-back	0.0	1.0	0.471	p	BR
33.826	2.0	1-back	0.0	1.0	0.573	c	TL
35.826	2.0	1-back	1.0	0.0	0.451	r	TL
37.826	2.0	1-back	0.0	1.0	0.415	t	BL
39.826	2.0	1-back	1.0	0.0	0.336	v	BL
41.826	2.0	1-back	0.0	1.0	0.579	g	BR
43.826	2.0	1-back	0.0	1.0	0.575	p	TL
45.826	2.0	1-back	0.0	1.0	0.443	x	BR
47.826	2.0	1-back	1.0	0.0	0.479	z	BR
49.826	2.0	1-back	0.0	1.0	0.453	l	TR
51.826	2.0	1-back	1.0	0.0	0.441	v	TR
53.826	2.0	1-back	0.0	1.0	0.372	n	BR
55.826	2.0	1-back	0.0	1.0	0.397	r	BL
57.826	2.0	1-back	1.0	0.0	0.557	s	BL
59.826	2.0	1-back	0.0	1.0	0.534	z	TR
61.826	2.0	1-back	0.0	1.0	0.426	l	TL
63.826	2.0	1-back	0.0	1.0	0.338	g	BR
65.826	2.0	1-back	1.0	0.0	0.34	f	BR
67.826	2.0	1-back	0.0	1.0	0.378	t	TR
69.826	2.0	1-back	0.0	0.0	0.434	z	TL
71.826	2.0	1-back	1.0	0.0	0.518	l	TL
73.826	2.0	1-back	0.0	1.0	0.683	f	BL
75.826	2.0	1-back	0.0	1.0	0.427	t	TR
77.826	2.0	1-back	1.0	0.0	0.788	r	TR
79.826	2.0	1-back	0.0	1.0	0.424	l	BR
81.826	2.0	1-back	1.0	1.0	0.669	z	BR
83.826	2.0	1-back	0.0	1.0	0.381	r	TR
85.826	2.0	1-back	1.0	1.0	0.5	v	TR
87.826	2.0	1-back	0.0	1.0	0.454	s	BL
89.826	2.0	1-back	1.0	0.0	0.339	f	BL
91.826	2.0	1-back	0.0	1.0	0.374	v	TL
93.826	2.0	1-back	0.0	1.0	0.589	x	BR
95.826	2.0	1-back	1.0	0.0	0.534	c	BR
97.826	2.0	1-back	0.0	1.0	0.437	s	BL
103.866	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
105.906	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
107.946	2.0	baseline	1.0	1.0	0.416	redcross.bmp	n/a
109.986	2.0	baseline	1.0	1.0	0.734	redcross.bmp	n/a
112.026	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.065	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.105	2.0	baseline	1.0	1.0	0.449	redcross.bmp	n/a
118.145	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.185	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.225	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.265	2.0	baseline	1.0	0.0	0.497	redcross.bmp	n/a
126.305	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.345	1.8	no_response	n/a	0.0	0.853	c	BL
134.145	1.8	no_response	n/a	0.0	0.349	l	TR
135.945	2.0	2-back	0.0	1.0	0.481	v	BR
137.945	2.0	2-back	1.0	0.0	0.525	p	TR
139.945	2.0	2-back	0.0	1.0	0.359	r	TL
141.945	2.0	2-back	0.0	1.0	0.299	t	BR
143.945	2.0	2-back	1.0	0.0	0.002	n	TL
145.945	2.0	2-back	0.0	1.0	0.29	s	TR
147.945	2.0	2-back	0.0	1.0	0.492	f	BL
149.945	2.0	2-back	1.0	0.0	0.362	x	TR
151.945	2.0	2-back	0.0	1.0	0.348	v	BR
153.945	2.0	2-back	0.0	1.0	0.303	p	BL
155.945	2.0	2-back	1.0	0.0	0.339	f	BR
157.945	2.0	2-back	0.0	1.0	0.372	n	TL
159.945	2.0	2-back	0.0	1.0	0.318	x	TR
161.945	2.0	2-back	1.0	0.0	0.574	t	TL
163.945	2.0	2-back	0.0	1.0	0.466	s	BL
165.945	2.0	2-back	0.0	0.0	n/a	l	TR
167.945	2.0	2-back	1.0	0.0	0.168	f	BL
169.945	2.0	2-back	1.0	0.0	0.638	c	TR
171.945	2.0	2-back	0.0	1.0	0.735	r	TL
173.945	2.0	2-back	1.0	0.0	0.368	g	TR
175.945	2.0	2-back	0.0	1.0	0.471	s	BL
177.945	2.0	2-back	0.0	1.0	0.297	r	BR
179.945	2.0	2-back	1.0	0.0	0.319	v	BL
181.945	2.0	2-back	0.0	1.0	0.606	p	BL
183.945	2.0	2-back	0.0	1.0	0.308	t	TL
185.945	2.0	2-back	1.0	0.0	0.191	x	BL
187.945	2.0	2-back	0.0	1.0	0.667	z	BR
189.945	2.0	2-back	0.0	1.0	0.604	t	TR
191.945	2.0	2-back	0.0	1.0	0.382	g	TL
193.945	2.0	2-back	1.0	0.0	0.333	c	TR
195.945	2.0	2-back	0.0	1.0	0.436	p	BL
197.945	2.0	2-back	0.0	1.0	0.301	s	BR
199.945	2.0	2-back	0.0	1.0	0.283	v	TL
201.945	2.0	2-back	1.0	0.0	0.502	n	BR
203.945	2.0	2-back	0.0	1.0	0.362	c	BL
205.945	2.0	2-back	0.0	1.0	0.408	l	TL
207.945	2.0	2-back	0.0	1.0	0.252	x	BR
209.945	2.0	2-back	1.0	0.0	0.304	z	TL
211.945	2.0	2-back	0.0	1.0	0.583	g	TR
213.945	2.0	2-back	0.0	1.0	0.601	f	BR
215.945	2.0	2-back	0.0	1.0	0.985	z	TL
217.945	2.0	2-back	1.0	0.0	0.32	l	BR
219.945	2.0	2-back	0.0	1.0	0.334	r	TR
221.945	2.0	2-back	1.0	0.0	0.472	z	BR
223.945	2.0	2-back	0.0	1.0	0.424	n	BL
225.945	2.0	2-back	1.0	0.0	0.359	g	BR
231.985	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
234.025	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
236.065	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
238.105	2.0	baseline	1.0	1.0	0.44	redcross.bmp	n/a
240.145	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
242.185	2.0	baseline	1.0	1.0	0.525	redcross.bmp	n/a
244.225	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
246.265	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
248.305	2.0	baseline	1.0	1.0	0.474	redcross.bmp	n/a
250.345	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
252.385	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
254.425	2.0	baseline	1.0	1.0	0.639	redcross.bmp	n/a
