onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.02	1.8	no_response	n/a	0.0	0.544	t	TR
5.82	2.0	1-back	0.0	1.0	0.807	c	BR
7.832	2.0	1-back	0.0	1.0	0.699	n	BL
9.845	2.0	1-back	1.0	1.0	0.617	l	BL
11.857	2.0	1-back	0.0	1.0	0.639	g	TR
13.87	2.0	1-back	0.0	1.0	0.571	f	TL
15.882	2.0	1-back	1.0	1.0	0.538	p	TL
17.895	2.0	1-back	0.0	1.0	0.675	x	TR
19.907	2.0	1-back	1.0	1.0	0.368	n	TR
21.92	2.0	1-back	0.0	1.0	0.527	s	TL
23.933	2.0	1-back	0.0	1.0	0.523	r	BR
25.945	2.0	1-back	1.0	1.0	0.536	v	BR
27.958	2.0	1-back	0.0	1.0	0.497	l	TL
29.97	2.0	1-back	1.0	1.0	0.457	z	TL
31.983	2.0	1-back	0.0	1.0	0.536	c	TR
33.995	2.0	1-back	0.0	1.0	0.677	f	BL
36.008	2.0	1-back	0.0	1.0	0.484	p	TR
38.02	2.0	1-back	1.0	1.0	0.56	t	TR
40.033	2.0	1-back	0.0	1.0	0.589	g	BL
42.046	2.0	1-back	1.0	0.0	0.408	x	BL
44.058	2.0	1-back	0.0	1.0	0.613	c	TR
46.071	2.0	1-back	1.0	0.0	0.446	p	TR
48.083	2.0	1-back	0.0	1.0	0.523	z	TL
50.096	2.0	1-back	0.0	1.0	0.627	r	BL
52.108	2.0	1-back	1.0	1.0	0.776	n	BL
54.121	2.0	1-back	0.0	1.0	0.623	z	BR
56.133	2.0	1-back	0.0	1.0	0.428	f	BL
58.146	2.0	1-back	0.0	1.0	0.983	s	TL
60.158	2.0	1-back	0.0	1.0	0.518	v	BR
62.171	2.0	1-back	1.0	0.0	0.441	c	BR
64.184	2.0	1-back	0.0	1.0	0.717	z	TL
66.196	2.0	1-back	1.0	1.0	0.468	r	TL
68.209	2.0	1-back	0.0	1.0	0.42	l	TR
70.221	2.0	1-back	1.0	1.0	0.435	n	TR
72.234	2.0	1-back	0.0	1.0	0.522	v	BR
74.246	2.0	1-back	1.0	1.0	0.729	f	BR
76.259	2.0	1-back	0.0	1.0	0.731	r	TL
78.271	2.0	1-back	1.0	1.0	0.649	l	TL
80.284	2.0	1-back	0.0	1.0	0.554	x	BR
82.297	2.0	1-back	0.0	1.0	0.747	s	BL
84.309	2.0	1-back	0.0	0.0	0.769	g	TL
86.322	2.0	1-back	0.0	1.0	0.47	t	BL
88.334	2.0	1-back	0.0	1.0	0.476	p	BR
90.347	2.0	1-back	0.0	1.0	0.833	s	BL
92.359	2.0	1-back	1.0	1.0	0.866	x	BL
94.372	2.0	1-back	0.0	1.0	0.562	v	TR
96.384	2.0	1-back	0.0	1.0	0.297	t	BR
98.397	2.0	1-back	1.0	1.0	0.355	g	BR
