onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	r	TL
5.825	2.0	1-back	1.0	1.0	0.597	r	TR
7.824	2.0	1-back	0.0	1.0	0.57	g	BR
9.823	2.0	1-back	1.0	1.0	0.503	g	TL
11.822	2.0	1-back	0.0	1.0	0.445	f	TR
13.821	2.0	1-back	0.0	0.0	0.651	t	BL
15.82	2.0	1-back	0.0	1.0	0.642	v	TL
17.819	2.0	1-back	0.0	1.0	0.637	p	TR
19.819	2.0	1-back	1.0	1.0	0.68	p	BL
21.818	2.0	1-back	0.0	1.0	0.372	z	BR
23.817	2.0	1-back	0.0	1.0	0.541	s	TR
25.816	2.0	1-back	1.0	1.0	0.608	s	BL
27.815	2.0	1-back	0.0	1.0	0.405	c	TL
29.814	2.0	1-back	1.0	1.0	0.6	c	BR
31.813	2.0	1-back	0.0	1.0	0.615	l	BR
33.812	2.0	1-back	0.0	1.0	0.813	n	BL
35.811	2.0	1-back	0.0	1.0	0.732	v	TL
37.81	2.0	1-back	1.0	1.0	0.721	v	TR
39.809	2.0	1-back	0.0	1.0	0.644	z	BR
41.808	2.0	1-back	0.0	1.0	1.01	s	TL
43.807	2.0	1-back	0.0	1.0	0.502	x	TR
45.807	2.0	1-back	1.0	1.0	0.562	x	BL
47.806	2.0	1-back	1.0	0.0	0.785	x	BR
49.805	2.0	1-back	0.0	1.0	0.614	v	TR
51.804	2.0	1-back	0.0	1.0	0.584	z	TL
53.803	2.0	1-back	1.0	1.0	0.536	z	BR
55.802	2.0	1-back	0.0	1.0	0.621	f	BL
57.801	2.0	1-back	0.0	1.0	0.434	r	TR
59.8	2.0	1-back	1.0	0.0	1.114	r	BL
61.799	2.0	1-back	0.0	0.0	n/a	n	TL
63.798	2.0	1-back	0.0	0.0	n/a	l	BL
65.797	2.0	1-back	1.0	1.0	0.684	l	BR
67.796	2.0	1-back	0.0	1.0	0.563	s	TL
69.795	2.0	1-back	0.0	1.0	0.481	g	TR
71.794	2.0	1-back	0.0	1.0	0.652	c	BL
73.794	2.0	1-back	1.0	1.0	0.66	c	TR
75.793	2.0	1-back	0.0	1.0	0.395	f	BR
77.792	2.0	1-back	1.0	0.0	0.732	f	TL
79.791	2.0	1-back	0.0	1.0	0.585	t	TR
81.79	2.0	1-back	0.0	1.0	0.429	x	BL
83.789	2.0	1-back	0.0	1.0	0.593	p	TL
85.788	2.0	1-back	1.0	0.0	0.832	p	BL
87.787	2.0	1-back	0.0	1.0	0.434	n	BR
89.786	2.0	1-back	1.0	0.0	0.579	n	TL
91.785	2.0	1-back	0.0	1.0	0.749	g	BR
93.784	2.0	1-back	0.0	1.0	0.643	l	BL
95.783	2.0	1-back	0.0	1.0	0.611	t	TR
97.782	2.0	1-back	1.0	1.0	0.655	t	BR
103.829	2.0	baseline	1.0	1.0	0.586	redcross.bmp	n/a
105.878	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
107.927	2.0	baseline	1.0	1.0	0.376	redcross.bmp	n/a
109.976	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.026	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.075	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.124	2.0	baseline	1.0	1.0	0.316	redcross.bmp	n/a
118.173	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.222	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.271	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.32	2.0	baseline	1.0	1.0	0.33	redcross.bmp	n/a
126.369	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.416	1.8	no_response	n/a	1.0	n/a	v	TR
134.216	1.8	no_response	n/a	0.0	0.972	r	BR
136.015	2.0	2-back	1.0	0.0	n/a	v	TL
138.014	2.0	2-back	0.0	1.0	0.617	g	TR
140.013	2.0	2-back	0.0	1.0	0.819	p	BL
142.012	2.0	2-back	1.0	1.0	0.665	g	BR
144.011	2.0	2-back	0.0	1.0	0.761	n	TL
146.01	2.0	2-back	0.0	1.0	0.641	x	TR
