onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.025	1.8	no_response	n/a	1.0	n/a	c	TR
5.825	1.8	no_response	n/a	0.0	0.839	g	BL
7.624	2.0	2-back	1.0	1.0	0.782	c	BL
9.639	2.0	2-back	0.0	1.0	0.651	p	TR
11.655	2.0	2-back	0.0	1.0	0.579	v	TL
13.671	2.0	2-back	1.0	1.0	0.623	p	TL
15.687	2.0	2-back	0.0	1.0	0.41	s	BL
17.702	2.0	2-back	0.0	1.0	0.571	x	TR
19.718	2.0	2-back	1.0	1.0	0.464	s	TR
21.734	2.0	2-back	1.0	1.0	0.492	x	TL
23.749	2.0	2-back	0.0	1.0	0.385	n	BR
25.765	2.0	2-back	0.0	1.0	0.623	f	BL
27.781	2.0	2-back	1.0	1.0	0.462	n	TL
29.797	2.0	2-back	0.0	1.0	0.573	t	TL
31.812	2.0	2-back	0.0	1.0	0.587	l	TR
33.828	2.0	2-back	0.0	1.0	0.546	r	BR
35.844	2.0	2-back	1.0	1.0	0.483	l	TL
37.86	2.0	2-back	0.0	1.0	0.484	z	TL
39.875	2.0	2-back	0.0	1.0	0.498	v	BL
41.891	2.0	2-back	0.0	1.0	0.436	t	BR
43.907	2.0	2-back	0.0	1.0	0.493	g	TL
45.922	2.0	2-back	1.0	1.0	0.461	t	BL
47.938	2.0	2-back	0.0	1.0	0.356	f	BR
49.954	2.0	2-back	0.0	1.0	0.543	r	BR
51.97	2.0	2-back	1.0	1.0	0.582	f	TR
53.985	2.0	2-back	0.0	1.0	0.335	z	BL
56.001	2.0	2-back	0.0	1.0	0.44	c	BR
58.017	2.0	2-back	0.0	1.0	0.419	g	TR
60.033	2.0	2-back	1.0	0.0	0.429	c	BL
62.048	2.0	2-back	0.0	1.0	0.354	p	BR
64.064	2.0	2-back	0.0	1.0	0.407	v	BR
66.08	2.0	2-back	1.0	1.0	0.433	p	TR
68.095	2.0	2-back	0.0	1.0	0.347	s	TL
70.111	2.0	2-back	0.0	1.0	0.233	t	BR
72.127	2.0	2-back	1.0	1.0	0.483	s	TR
74.143	2.0	2-back	0.0	1.0	0.272	r	TL
76.158	2.0	2-back	0.0	1.0	0.483	z	BL
78.174	2.0	2-back	1.0	1.0	0.378	r	TR
80.19	2.0	2-back	1.0	1.0	0.652	z	BR
82.206	2.0	2-back	0.0	1.0	0.287	n	TL
84.221	2.0	2-back	0.0	1.0	0.467	g	TR
86.237	2.0	2-back	1.0	1.0	0.364	n	BL
88.253	2.0	2-back	0.0	1.0	0.349	x	BR
90.268	2.0	2-back	0.0	1.0	0.446	v	TR
92.284	2.0	2-back	1.0	1.0	0.394	x	BL
94.3	2.0	2-back	0.0	1.0	0.373	l	BL
96.316	2.0	2-back	0.0	1.0	0.468	f	TL
98.331	2.0	2-back	1.0	1.0	0.363	l	BR
104.395	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.444	2.0	baseline	1.0	1.0	0.375	redcross.bmp	n/a
108.493	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.542	2.0	baseline	1.0	1.0	0.398	redcross.bmp	n/a
112.591	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.64	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.689	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.738	2.0	baseline	1.0	1.0	0.643	redcross.bmp	n/a
120.787	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.836	2.0	baseline	1.0	0.0	0.429	redcross.bmp	n/a
124.885	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.934	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.982	1.8	no_response	n/a	1.0	n/a	v	TR
134.781	2.0	1-back	1.0	1.0	0.642	v	BL
136.797	2.0	1-back	0.0	1.0	0.548	p	TR
138.812	2.0	1-back	0.0	1.0	0.657	g	BL
140.828	2.0	1-back	1.0	1.0	0.732	g	TL
142.844	2.0	1-back	0.0	1.0	0.417	z	BR
144.86	2.0	1-back	0.0	1.0	0.551	l	TL
146.875	2.0	1-back	0.0	1.0	0.705	t	BL
148.891	2.0	1-back	1.0	1.0	0.581	t	TR
150.907	2.0	1-back	0.0	1.0	0.639	s	BR
152.922	2.0	1-back	0.0	1.0	0.682	l	TL
154.938	2.0	1-back	0.0	1.0	0.762	x	BR
156.954	2.0	1-back	1.0	1.0	0.662	x	TR
158.97	2.0	1-back	1.0	1.0	0.64	x	TL
160.985	2.0	1-back	0.0	1.0	0.508	s	TR
163.001	2.0	1-back	1.0	1.0	0.55	s	BL
165.017	2.0	1-back	0.0	1.0	0.69	n	TR
167.033	2.0	1-back	0.0	1.0	0.669	r	TL
169.048	2.0	1-back	0.0	1.0	0.871	s	TR
171.064	2.0	1-back	0.0	1.0	0.651	t	BL
173.08	2.0	1-back	1.0	1.0	0.447	t	TR
175.095	2.0	1-back	0.0	1.0	0.4	l	BR
177.111	2.0	1-back	0.0	1.0	0.575	r	BL
179.127	2.0	1-back	0.0	1.0	0.54	f	TL
181.143	2.0	1-back	1.0	0.0	0.662	f	BL
183.158	2.0	1-back	0.0	1.0	0.558	z	BR
185.174	2.0	1-back	1.0	1.0	0.604	z	BL
187.19	2.0	1-back	0.0	1.0	0.48	c	TL
189.206	2.0	1-back	1.0	1.0	0.486	c	TR
191.221	2.0	1-back	0.0	1.0	0.438	p	BR
193.237	2.0	1-back	1.0	0.0	n/a	p	BL
195.253	2.0	1-back	0.0	1.0	0.432	n	TL
197.268	2.0	1-back	1.0	1.0	0.495	n	TR
199.284	2.0	1-back	0.0	1.0	0.512	f	BL
201.3	2.0	1-back	1.0	1.0	0.496	f	BR
203.316	2.0	1-back	0.0	1.0	0.452	l	TL
205.331	2.0	1-back	0.0	0.0	n/a	r	BR
207.347	2.0	1-back	1.0	0.0	0.497	r	TL
209.363	2.0	1-back	0.0	1.0	0.392	z	BR
211.379	2.0	1-back	0.0	1.0	0.715	n	BL
213.394	2.0	1-back	0.0	1.0	0.496	c	TL
215.41	2.0	1-back	1.0	1.0	0.363	c	TR
217.426	2.0	1-back	0.0	1.0	0.415	v	BR
219.441	2.0	1-back	1.0	1.0	0.463	v	TL
221.457	2.0	1-back	0.0	1.0	0.457	x	TR
223.473	2.0	1-back	0.0	1.0	0.474	g	BR
225.489	2.0	1-back	0.0	1.0	0.539	p	BL
227.504	2.0	1-back	0.0	0.0	0.534	g	BR
233.568	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
235.617	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
237.666	2.0	baseline	1.0	1.0	0.343	redcross.bmp	n/a
239.715	2.0	baseline	1.0	1.0	0.401	redcross.bmp	n/a
241.764	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
243.813	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
245.862	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
247.911	2.0	baseline	1.0	1.0	0.343	redcross.bmp	n/a
249.96	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
252.009	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
254.058	2.0	baseline	1.0	1.0	0.374	redcross.bmp	n/a
256.107	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
