onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.016	1.8	no_response	n/a	1.0	n/a	v	BL
5.822	1.8	no_response	n/a	1.0	n/a	c	BR
7.628	2.0	2-back	1.0	0.0	0.579	g	BL
9.634	2.0	2-back	0.0	1.0	1.012	p	TR
11.64	2.0	2-back	0.0	0.0	0.338	n	TL
13.646	2.0	2-back	1.0	0.0	0.197	x	TR
15.653	2.0	2-back	0.0	1.0	0.381	p	BL
17.659	2.0	2-back	0.0	1.0	0.569	c	TL
19.665	2.0	2-back	0.0	1.0	0.431	l	TL
21.671	2.0	2-back	0.0	0.0	0.51	v	TR
23.678	2.0	2-back	1.0	0.0	0.557	x	TL
25.684	2.0	2-back	1.0	0.0	0.512	g	TR
27.69	2.0	2-back	0.0	1.0	1.088	t	BR
29.696	2.0	2-back	0.0	1.0	0.568	z	BL
31.703	2.0	2-back	1.0	1.0	0.316	n	BR
33.709	2.0	2-back	0.0	1.0	0.267	f	TR
35.715	2.0	2-back	0.0	0.0	0.518	x	TL
37.721	2.0	2-back	0.0	1.0	0.332	n	BL
39.728	2.0	2-back	1.0	1.0	0.618	t	TL
41.734	2.0	2-back	0.0	1.0	0.67	l	BR
43.74	2.0	2-back	0.0	0.0	0.272	r	BL
45.746	2.0	2-back	1.0	0.0	0.36	f	BR
47.753	2.0	2-back	0.0	1.0	0.496	s	BR
49.759	2.0	2-back	0.0	1.0	0.453	v	TL
51.765	2.0	2-back	0.0	1.0	0.616	n	TR
53.771	2.0	2-back	1.0	1.0	0.737	p	TL
55.778	2.0	2-back	0.0	1.0	0.516	s	BL
57.784	2.0	2-back	0.0	1.0	0.48	g	BR
59.79	2.0	2-back	1.0	0.0	0.245	f	BL
61.796	2.0	2-back	0.0	1.0	0.273	r	TR
63.803	2.0	2-back	0.0	1.0	0.146	s	TL
65.809	2.0	2-back	0.0	1.0	0.024	z	BL
67.815	2.0	2-back	1.0	0.0	0.149	c	TL
69.821	2.0	2-back	0.0	0.0	0.328	r	BR
71.828	2.0	2-back	0.0	1.0	0.294	v	TR
73.834	2.0	2-back	1.0	1.0	0.252	l	BR
75.84	2.0	2-back	1.0	0.0	0.115	c	TR
77.846	2.0	2-back	0.0	0.0	0.104	s	BL
79.853	2.0	2-back	0.0	0.0	0.265	t	TL
81.859	2.0	2-back	0.0	1.0	0.336	r	TR
83.865	2.0	2-back	0.0	0.0	0.287	z	BL
85.871	2.0	2-back	1.0	0.0	0.265	l	TR
87.878	2.0	2-back	1.0	0.0	0.346	x	BL
89.884	2.0	2-back	0.0	1.0	0.362	f	BR
91.89	2.0	2-back	0.0	1.0	0.309	p	TR
93.896	2.0	2-back	1.0	0.0	0.69	g	BR
95.903	2.0	2-back	0.0	1.0	0.464	t	BL
97.909	2.0	2-back	1.0	1.0	0.378	z	BR
103.946	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.003	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.059	2.0	baseline	1.0	0.0	0.584	redcross.bmp	n/a
110.116	2.0	baseline	1.0	1.0	0.425	redcross.bmp	n/a
112.172	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.228	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.285	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.341	2.0	baseline	1.0	1.0	0.498	redcross.bmp	n/a
120.398	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.454	2.0	baseline	1.0	1.0	0.47	redcross.bmp	n/a
124.51	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.567	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.617	1.8	no_response	n/a	1.0	n/a	l	TR
134.423	2.0	1-back	1.0	1.0	0.677	x	TR
136.429	2.0	1-back	0.0	1.0	0.832	l	BL
138.435	2.0	1-back	1.0	1.0	0.62	s	BL
140.442	2.0	1-back	0.0	1.0	0.46	g	TL
142.448	2.0	1-back	0.0	1.0	0.587	r	BR
144.454	2.0	1-back	0.0	1.0	0.843	s	TL
146.46	2.0	1-back	0.0	0.0	0.674	z	BL
148.467	2.0	1-back	0.0	1.0	0.384	t	TR
150.473	2.0	1-back	1.0	1.0	0.803	x	TR
152.479	2.0	1-back	0.0	1.0	0.544	n	BR
154.485	2.0	1-back	0.0	1.0	0.598	l	TL
156.492	2.0	1-back	1.0	1.0	0.558	g	TL
158.498	2.0	1-back	0.0	1.0	0.529	r	BR
160.504	2.0	1-back	1.0	1.0	0.614	p	BR
162.51	2.0	1-back	0.0	1.0	0.517	z	TR
164.517	2.0	1-back	0.0	1.0	0.543	r	BL
166.523	2.0	1-back	1.0	0.0	0.429	x	BL
168.529	2.0	1-back	0.0	0.0	0.407	p	TR
170.535	2.0	1-back	0.0	1.0	0.614	c	BL
172.542	2.0	1-back	0.0	1.0	0.805	f	TR
174.548	2.0	1-back	1.0	1.0	0.618	l	TR
176.554	2.0	1-back	1.0	1.0	0.626	t	TR
178.56	2.0	1-back	0.0	1.0	0.715	f	TL
180.567	2.0	1-back	0.0	1.0	0.673	r	BL
182.573	2.0	1-back	1.0	1.0	0.537	s	BL
184.579	2.0	1-back	0.0	1.0	0.476	f	TR
186.585	2.0	1-back	0.0	0.0	0.875	c	BR
188.592	2.0	1-back	1.0	0.0	0.325	z	BR
190.598	2.0	1-back	0.0	0.0	0.35	v	BL
192.604	2.0	1-back	0.0	1.0	0.265	p	TL
194.61	2.0	1-back	1.0	1.0	0.706	t	TL
196.617	2.0	1-back	0.0	1.0	0.465	c	BL
198.623	2.0	1-back	0.0	1.0	0.578	p	BR
200.629	2.0	1-back	0.0	1.0	0.635	v	TL
202.635	2.0	1-back	1.0	1.0	0.598	n	TL
204.642	2.0	1-back	0.0	1.0	0.801	s	BR
206.648	2.0	1-back	1.0	1.0	0.56	z	BR
208.654	2.0	1-back	0.0	1.0	0.591	v	BL
210.66	2.0	1-back	0.0	1.0	0.623	n	BR
212.667	2.0	1-back	0.0	1.0	0.63	t	TL
214.673	2.0	1-back	1.0	1.0	0.632	g	TL
216.679	2.0	1-back	0.0	1.0	0.489	x	TR
218.686	2.0	1-back	1.0	0.0	0.686	g	TR
220.692	2.0	1-back	0.0	1.0	0.443	c	TL
222.698	2.0	1-back	0.0	1.0	0.437	v	BL
224.704	2.0	1-back	0.0	0.0	0.343	f	BR
226.711	2.0	1-back	1.0	0.0	0.492	n	BR
232.748	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
234.804	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
236.861	2.0	baseline	1.0	1.0	0.358	redcross.bmp	n/a
238.917	2.0	baseline	1.0	1.0	0.5	redcross.bmp	n/a
240.974	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
243.03	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
245.086	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
247.143	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
249.199	2.0	baseline	1.0	1.0	0.347	redcross.bmp	n/a
251.256	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
253.312	2.0	baseline	1.0	1.0	0.414	redcross.bmp	n/a
255.368	2.0	baseline	n/a	0.0	0.759	blackcross.bmp	n/a
