onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.02	1.8	no_response	n/a	1.0	n/a	l	TR
5.819	2.0	1-back	1.0	1.0	0.658	l	BL
7.832	2.0	1-back	0.0	1.0	0.46	s	TR
9.845	2.0	1-back	0.0	1.0	0.455	z	BL
11.857	2.0	1-back	0.0	1.0	0.436	t	TL
13.87	2.0	1-back	0.0	1.0	0.467	x	BR
15.882	2.0	1-back	1.0	1.0	0.615	x	TL
17.895	2.0	1-back	0.0	1.0	0.505	n	BL
19.907	2.0	1-back	0.0	1.0	0.448	s	TR
21.92	2.0	1-back	0.0	1.0	0.449	l	BR
23.932	2.0	1-back	1.0	1.0	0.47	l	TL
25.945	2.0	1-back	0.0	1.0	0.432	g	BR
27.958	2.0	1-back	1.0	1.0	0.55	g	TR
29.97	2.0	1-back	0.0	1.0	0.493	r	TL
31.983	2.0	1-back	1.0	1.0	0.752	r	TR
33.995	2.0	1-back	0.0	1.0	0.417	x	BL
36.008	2.0	1-back	0.0	1.0	0.327	p	TR
38.02	2.0	1-back	1.0	1.0	0.607	p	TL
40.033	2.0	1-back	0.0	1.0	0.447	c	TR
42.046	2.0	1-back	0.0	1.0	0.322	r	BL
44.058	2.0	1-back	0.0	1.0	0.435	f	TR
46.071	2.0	1-back	1.0	0.0	0.559	f	BR
48.083	2.0	1-back	1.0	1.0	0.632	f	BL
50.096	2.0	1-back	0.0	1.0	0.504	c	TL
52.108	2.0	1-back	0.0	1.0	0.828	z	BL
54.121	2.0	1-back	1.0	1.0	0.574	z	BR
56.133	2.0	1-back	0.0	1.0	0.592	v	BL
58.146	2.0	1-back	0.0	1.0	0.379	p	TL
60.159	2.0	1-back	1.0	1.0	0.522	p	TR
62.171	2.0	1-back	0.0	1.0	0.388	n	BR
64.184	2.0	1-back	0.0	1.0	0.55	s	BL
66.196	2.0	1-back	1.0	0.0	0.593	s	TL
68.209	2.0	1-back	0.0	1.0	0.365	z	TR
70.221	2.0	1-back	0.0	1.0	0.434	v	BL
72.234	2.0	1-back	0.0	1.0	0.234	t	BR
74.247	2.0	1-back	1.0	0.0	0.098	t	TL
76.259	2.0	1-back	1.0	1.0	0.633	t	BR
78.272	2.0	1-back	0.0	1.0	0.635	g	TL
80.284	2.0	1-back	0.0	1.0	0.663	x	BR
82.297	2.0	1-back	0.0	1.0	0.663	g	BL
84.309	2.0	1-back	0.0	1.0	0.321	c	TL
86.322	2.0	1-back	1.0	0.0	0.339	c	TR
88.334	2.0	1-back	0.0	1.0	0.313	v	BR
90.347	2.0	1-back	1.0	1.0	0.746	v	TL
92.36	2.0	1-back	0.0	1.0	0.317	f	TR
94.372	2.0	1-back	0.0	1.0	0.464	r	BR
96.385	2.0	1-back	0.0	1.0	0.579	n	BL
98.397	2.0	1-back	1.0	0.0	0.438	n	BR
104.448	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.487	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.526	2.0	baseline	1.0	1.0	0.352	redcross.bmp	n/a
110.566	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.605	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.644	2.0	baseline	1.0	1.0	0.441	redcross.bmp	n/a
116.683	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.723	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.762	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.801	2.0	baseline	1.0	1.0	0.538	redcross.bmp	n/a
124.84	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.879	2.0	baseline	1.0	1.0	0.348	redcross.bmp	n/a
132.917	1.8	no_response	n/a	1.0	n/a	z	TR
134.717	1.8	no_response	n/a	1.0	n/a	n	BL
136.516	2.0	2-back	0.0	1.0	0.727	g	BL
138.529	2.0	2-back	0.0	1.0	0.347	p	TR
140.541	2.0	2-back	1.0	0.0	0.477	g	TL
142.554	2.0	2-back	0.0	1.0	0.469	s	TL
144.566	2.0	2-back	0.0	1.0	0.533	f	BL
146.579	2.0	2-back	1.0	0.0	0.228	s	TR
148.591	2.0	2-back	1.0	1.0	0.853	f	TR
150.604	2.0	2-back	0.0	0.0	0.558	c	TL
152.616	2.0	2-back	0.0	1.0	0.342	x	BR
154.629	2.0	2-back	1.0	0.0	0.331	c	BL
156.642	2.0	2-back	0.0	1.0	0.441	l	TL
158.654	2.0	2-back	0.0	1.0	0.39	v	TL
160.667	2.0	2-back	0.0	1.0	0.3	p	TR
162.679	2.0	2-back	1.0	0.0	0.497	v	BR
164.692	2.0	2-back	0.0	1.0	0.476	c	TL
166.704	2.0	2-back	0.0	1.0	0.436	s	TL
168.717	2.0	2-back	0.0	1.0	0.256	t	BL
170.729	2.0	2-back	0.0	1.0	0.335	x	BR
172.742	2.0	2-back	1.0	0.0	0.331	t	TL
174.755	2.0	2-back	0.0	1.0	0.668	r	BL
176.767	2.0	2-back	0.0	1.0	0.395	n	BR
178.78	2.0	2-back	1.0	0.0	0.466	r	BR
180.792	2.0	2-back	0.0	1.0	0.306	l	TR
182.805	2.0	2-back	0.0	1.0	0.557	v	BL
184.817	2.0	2-back	1.0	0.0	0.467	l	BR
186.83	2.0	2-back	1.0	0.0	0.421	v	TR
188.843	2.0	2-back	0.0	1.0	0.551	s	BL
190.855	2.0	2-back	0.0	0.0	0.822	t	BR
192.868	2.0	2-back	0.0	1.0	0.518	c	BR
194.88	2.0	2-back	1.0	1.0	0.635	t	TR
196.893	2.0	2-back	0.0	1.0	0.436	n	TL
198.905	2.0	2-back	0.0	1.0	0.327	l	BR
200.918	2.0	2-back	1.0	0.0	0.311	n	TR
202.93	2.0	2-back	0.0	1.0	0.654	p	TL
204.943	2.0	2-back	0.0	1.0	0.456	x	BL
206.956	2.0	2-back	1.0	1.0	0.863	p	TR
208.968	2.0	2-back	0.0	1.0	0.38	f	BR
210.981	2.0	2-back	0.0	1.0	0.273	z	TL
212.993	2.0	2-back	1.0	0.0	0.356	f	TR
215.006	2.0	2-back	0.0	1.0	0.295	r	BL
217.018	2.0	2-back	0.0	1.0	0.341	x	BR
219.031	2.0	2-back	1.0	0.0	0.217	r	TR
221.044	2.0	2-back	0.0	1.0	0.302	g	BL
223.056	2.0	2-back	0.0	1.0	0.364	z	BL
225.069	2.0	2-back	1.0	0.0	0.379	g	TL
227.081	2.0	2-back	1.0	0.0	0.488	z	BR
233.132	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
235.171	2.0	baseline	1.0	1.0	0.335	redcross.bmp	n/a
237.21	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
239.25	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
241.289	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
243.328	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
245.367	2.0	baseline	1.0	1.0	0.379	redcross.bmp	n/a
247.407	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
249.446	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
251.485	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
253.524	2.0	baseline	1.0	1.0	0.502	redcross.bmp	n/a
255.563	2.0	baseline	1.0	0.0	n/a	redcross.bmp	n/a
